Connessione a Railway DB...
ETF da verificare: 2573
[385/2573] UBSPX.MI             OK 109.47
[386/2573] ESIF.DE              OK 13.54
[387/2573] X1G.MI               OK 231.12
[388/2573] CSBGE7.MI            OK 132.9
[389/2573] JPNEUA.MI            OK 59.78
[390/2573] DAXX.MI              OK 207.45
[391/2573] IDVY.MI              OK 23.23
[392/2573] CRUD.MI              OK 12.662
[393/2573] IEUX.MI              OK 49.525
[394/2573] VERE.MI              OK 53.24
[395/2573] EGOV.MI              OK 49.2
[396/2573] SLUS.DE              OK 10.79
[397/2573] IBB1.DE              OK 3.9741
[398/2573] ENAM.MI              OK 26.01
[399/2573] CMU.MI               OK 338.8
[400/2573] EBBB.MI              OK 54.57
[401/2573] EMESG.MI             OK 63.73
[402/2573] EMAE.MI              OK 93.19
[403/2573] AIAI.MI              OK 23.525
[404/2573] BITC.AS              OK 42.482
[405/2573] VJPA.MI              OK 36.94
[406/2573] VETY.MI              OK 21.605
[407/2573] WSRIA.MI             OK 20.905
[408/2573] IFFF.MI              OK 61.5
[409/2573] JEPG.MI              OK 23.0
[410/2573] SRIC.MI              OK 10.524
[411/2573] TREX.MI              OK 30.815
[412/2573] 5MVL.DE              OK 69.42
[413/2573] XEOD.DE              OK 126.754
[414/2573] TSWE.MI              OK 36.8
[415/2573] XWEH.MI              OK 46.025
[416/2573] FUSD.MI              OK 10.392
[417/2573] EJPY.MI              OK 7.581
[418/2573] 36BA.DE              OK 3.9414
[419/2573] LGQG.DE              OK 321.1
[420/2573] QDVW.DE              OK 7.128
[421/2573] WEBN.MI              OK 11.07
[422/2573] EUNS.DE              OK 105.22
[423/2573] CCUSAS.MI            OK 115.67
[424/2573] X710.MI              OK 250.66
[425/2573] ETFGLO.MI            OK 37.535
[426/2573] EGRI.MI              OK 45.3
[427/2573] AWDU.MI              OK 10.074
[428/2573] CRPE.MI              OK 154.0
[429/2573] EEMU.MI              OK 17.904
[430/2573] GOVH.MI              OK 46.71
[431/2573] CHIP.MI              OK 76.88
[432/2573] GISG.MI              
  FAIL - Nessun ticker trovato per LU1650491282 (Amundi Euro Government Inflation-Linked )
[433/2573] IJPN.AS              OK 18.897
[434/2573] 8PSB.DE              OK 59.485
[435/2573] CBUE.DE              OK 4.1749
[436/2573] XHYG.MI              OK 15.5465
[437/2573] REMX.MI              OK 14.1
[438/2573] EMSA.MI              OK 5.373
[439/2573] IBGS.AS              OK 139.99
[440/2573] ETFCOR.MI            OK 18.652
[441/2573] QDVF.DE              OK 10.79
[442/2573] USAEUY.MI            OK 138.9
[443/2573] IBCQ.DE              OK 85.328
[444/2573] MWEQ.MI              OK 5.314
[445/2573] SXLK.MI              OK 123.28
[446/2573] 5ESGE.MI             OK 36.68
[447/2573] EUNY.DE              OK 16.38
[448/2573] XZEU.MI              OK 31.875
[449/2573] FUSR.MI              OK 10.254
[450/2573] SDJE50.MI            OK 143.36
[451/2573] X57E.MI              OK 233.42
[452/2573] SGLE.MI              OK 105.55
[453/2573] WBTC.PA              OK 14.615
[454/2573] XCAN.MI              OK 99.08
[455/2573] JUHE.MI              OK 52.11
[456/2573] XCS6.MI              OK 16.148
[457/2573] EACW.MI              OK 23.355
[458/2573] IJPE.MI              OK 123.81
[459/2573] 2B7S.DE              OK 5.0686
[460/2573] LGUS.MI              OK 23.01
[461/2573] ETFGOV.MI            OK 16.898
[462/2573] GCVE.MI              OK 49.315
[463/2573] XY4P.MI              OK 179.29
[464/2573] XUTD.MI              OK 167.9
[465/2573] EUREUA.MI            OK 94.95
[466/2573] EUSRI.MI             OK 81.2
[467/2573] IU5C.DE              OK 11.944
[468/2573] AIGI.MI              OK 15.412
[469/2573] IE00058MW3M8.PA      OK 63.755
[470/2573] X500.MI              OK 31.4
[471/2573] XUTE.MI              OK 90.67
[472/2573] ESGE.MI              OK 36.765
[473/2573] SYBG.DE              OK 48.521
[474/2573] SP5EUY.MI            OK 93.95
[475/2573] ETSZ.DE              OK 18.942
[476/2573] INAA.MI              OK 105.7
[477/2573] IUS2.DE              OK 6.101
[478/2573] EUNX.DE              OK 81.828
[479/2573] SLMG.DE              OK 4.8539
[480/2573] SS1EUA.MI            OK 11.676
[481/2573] 2B7A.DE              OK 9.87
[482/2573] IEXF.MI              OK 107.73
[483/2573] S6DW.DE              OK 9.185
[484/2573] ENCO.MI              OK 15.72
[485/2573] IWDP.MI              OK 21.31
[486/2573] COPX.MI              OK 48.23
[487/2573] SPEQ.MI              OK 56.71
[488/2573] XUHC.DE              OK 50.96
[489/2573] CSEMUS.MI            OK 324.95
[490/2573] IITB.MI              OK 149.66
[491/2573] CIBR.MI              OK 34.17
[492/2573] INDI.MI              OK 24.14
[493/2573] XDPU.MI              OK 10.992
[494/2573] IWDS.MI              OK 5.68
[495/2573] LWCR.MI              OK 540.37
[496/2573] GERD.MI              OK 13.054
[497/2573] EM1015.MI            OK 198.86
[498/2573] IVOA.MI              OK 5.603
[499/2573] EMND.DE              OK 8.68
[500/2573] XSX7.DE              OK 90.48
[501/2573] 5MVW.DE              OK 8.427
[502/2573] YCSH.MI              OK 15.4481
[503/2573] WSLV.MI              OK 62.07
[504/2573] RIEU.MI              OK 17.994
[505/2573] VNGA80.MI            OK 39.005
